Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10,obs
2014-02-09,197.99907,203.5741729736328,203.2693328857422,201.97491455078125,200.412353515625,200.7327880859375,203.14881896972656,201.3428192138672,201.3402099609375,200.08216857910156,199.82843
2014-02-10,197.68059,202.64944458007812,202.58782958984375,201.1724395751953,198.3136749267578,200.41293334960938,201.82546997070312,199.13296508789062,199.1918487548828,199.7521514892578,200.07118
2014-02-11,196.80423,201.50296020507812,201.20797729492188,199.11888122558594,198.5109100341797,199.461181640625,201.1509552001953,199.5544891357422,199.58660888671875,199.2582244873047,200.31393
2014-02-12,197.70746,201.24143981933594,201.11839294433594,199.99949645996094,198.21214294433594,199.9070587158203,200.5729217529297,199.30799865722656,199.2073516845703,199.4063720703125,200.55667
2014-02-13,198.62831,203.6598663330078,203.3677520751953,200.70132446289062,201.83718872070312,201.13803100585938,203.9149932861328,202.33770751953125,202.1742401123047,200.8646240234375,200.79942
2014-02-14,198.48804,201.1186065673828,201.16078186035156,200.50057983398438,197.946533203125,201.05215454101562,200.682861328125,199.08445739746094,199.1319580078125,200.64231872558594,201.04218
2014-02-15,197.38808,202.6341552734375,202.29518127441406,201.2486572265625,199.63027954101562,201.02757263183594,202.40341186523438,200.6444549560547,200.73199462890625,200.08705139160156,201.28491
2014-02-16,197.85513,203.01080322265625,202.8358612060547,199.6514434814453,200.1596221923828,200.11541748046875,202.91293334960938,200.87481689453125,200.80674743652344,199.5975341796875,201.52766
2014-02-17,198.60922,204.3526153564453,203.88536071777344,201.14947509765625,201.89930725097656,201.06228637695312,204.37930297851562,202.61190795898438,202.40135192871094,200.71974182128906,201.7704
2014-02-18,199.08064,204.31454467773438,204.0536346435547,202.26882934570312,200.5962371826172,201.35511779785156,204.03822326660156,201.65576171875,201.49388122558594,200.75711059570312,202.01315
2014-02-19,199.53867,204.37261962890625,203.83299255371094,202.01712036132812,200.22950744628906,201.63795471191406,203.74307250976562,200.96258544921875,200.9461212158203,201.33396911621094,202.2559
2014-02-20,199.84532,203.41978454589844,203.09805297851562,202.24612426757812,199.0682830810547,201.58518981933594,202.67230224609375,200.02651977539062,200.0208282470703,201.18836975097656,202.49864
2014-02-21,199.84515,204.1699676513672,203.7154998779297,202.156494140625,202.36935424804688,200.87615966796875,203.9738006591797,202.754150390625,202.66696166992188,201.047119140625,202.7414
2014-02-22,199.92375,203.5997314453125,203.2804718017578,201.8040771484375,201.32630920410156,200.85523986816406,203.30255126953125,201.8635711669922,201.69927978515625,200.8662872314453,202.98415
2014-02-23,199.83807,204.19607543945312,203.98301696777344,202.4535369873047,201.97596740722656,201.4322509765625,203.6195831298828,203.29823303222656,203.1707000732422,201.33421325683594,203.22687
2014-02-24,199.65016,199.68455505371094,199.39117431640625,201.6367950439453,197.79481506347656,201.40834045410156,198.97299194335938,198.84646606445312,198.74949645996094,201.239013671875,203.46962
2014-02-25,198.4993,196.09259033203125,195.59133911132812,201.919677734375,196.30609130859375,201.65968322753906,195.70701599121094,197.65362548828125,197.7333526611328,201.46612548828125,203.71236
2014-02-26,198.74702,193.60609436035156,193.47222900390625,200.0655975341797,194.0757598876953,201.67250061035156,193.00918579101562,195.04107666015625,195.1702880859375,201.40628051757812,203.95511
2014-02-27,195.06465,200.35635375976562,200.77980041503906,194.95767211914062,200.15052795410156,195.7513885498047,199.76002502441406,200.96116638183594,201.06333923339844,195.89797973632812,204.19786
2014-02-28,194.74455,197.12368774414062,197.669921875,193.48825073242188,197.06227111816406,195.56370544433594,196.6193389892578,197.5865478515625,197.71292114257812,195.72975158691406,204.4406
