Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10,obs
2014-02-09,194.86949,197.15892028808594,196.596435546875,195.15310668945312,194.53050231933594,192.613037109375,196.6013641357422,195.6427764892578,195.67538452148438,194.84268188476562,199.82843
2014-02-10,195.83679,197.4104766845703,196.7922821044922,194.15963745117188,194.8502960205078,193.51597595214844,197.1676483154297,195.86029052734375,195.95187377929688,193.14915466308594,200.07118
2014-02-11,195.31633,197.65084838867188,197.00634765625,193.71238708496094,193.94325256347656,192.0341339111328,197.24734497070312,195.95701599121094,196.12586975097656,193.3643035888672,200.31393
2014-02-12,197.12425,199.40957641601562,198.50538635253906,194.05279541015625,195.1943817138672,193.50025939941406,199.1133270263672,197.71759033203125,197.48223876953125,193.82534790039062,200.55667
2014-02-13,196.42754,198.48646545410156,197.8990936279297,192.87283325195312,194.68272399902344,192.7214813232422,197.90724182128906,197.48007202148438,197.32713317871094,194.88375854492188,200.79942
2014-02-14,197.63254,199.7127227783203,198.66615295410156,193.85577392578125,194.7714385986328,194.1974334716797,199.17848205566406,198.2108612060547,197.9066162109375,195.02847290039062,201.04218
2014-02-15,197.252,198.6961669921875,198.24110412597656,193.5874481201172,194.1843719482422,193.60411071777344,198.2395477294922,197.49166870117188,197.44618225097656,196.05233764648438,201.28491
2014-02-16,197.88403,200.19688415527344,199.2891845703125,194.1822509765625,195.03131103515625,194.63369750976562,199.9749298095703,198.2256622314453,198.28659057617188,195.7970733642578,201.52766
2014-02-17,198.00798,200.20159912109375,199.52806091308594,195.24746704101562,195.06515502929688,194.18702697753906,199.42359924316406,199.07443237304688,198.64218139648438,195.70741271972656,201.7704
2014-02-18,198.10832,200.63368225097656,199.91722106933594,195.63031005859375,195.7909393310547,195.8380584716797,200.12730407714844,199.4830322265625,199.01492309570312,196.59474182128906,202.01315
2014-02-19,198.24911,200.0807647705078,199.74623107910156,194.95608520507812,195.1670684814453,195.50970458984375,199.50259399414062,198.22145080566406,198.66629028320312,195.53860473632812,202.2559
2014-02-20,199.49992,201.83338928222656,201.13319396972656,196.53549194335938,195.97808837890625,196.4149627685547,201.31002807617188,199.73448181152344,199.85116577148438,195.38612365722656,202.49864
2014-02-21,198.50392,201.22340393066406,200.76626586914062,198.17527770996094,196.3501434326172,196.40341186523438,200.82151794433594,199.86898803710938,199.65721130371094,196.9454803466797,202.7414
2014-02-22,199.52817,202.1453094482422,201.37521362304688,198.3407745361328,196.6309051513672,196.4501953125,201.81732177734375,200.6897430419922,200.0746612548828,196.71371459960938,202.98415
2014-02-23,198.59045,200.4036407470703,200.1086883544922,199.0260772705078,196.3108367919922,195.9713897705078,200.16598510742188,199.7606201171875,199.3794403076172,197.7056884765625,203.22687
2014-02-24,198.50372,201.19053649902344,200.96731567382812,198.58349609375,196.496826171875,196.47314453125,201.26100158691406,199.72735595703125,199.83299255371094,197.88790893554688,203.46962
2014-02-25,199.25346,201.92140197753906,201.38577270507812,198.27613830566406,196.72027587890625,196.3804931640625,201.9907684326172,200.5990447998047,200.14129638671875,198.46485900878906,203.71236
2014-02-26,199.83383,201.43746948242188,200.82923889160156,198.59063720703125,197.22735595703125,196.63970947265625,201.32644653320312,199.44281005859375,199.73126220703125,198.72842407226562,203.95511
2014-02-27,199.66881,201.73532104492188,200.92523193359375,199.81837463378906,197.787353515625,196.78726196289062,201.5038299560547,201.11373901367188,200.27703857421875,198.82403564453125,204.19786
2014-02-28,199.99342,202.54605102539062,201.63519287109375,200.952392578125,198.03070068359375,197.34295654296875,202.4960479736328,201.79098510742188,201.07485961914062,198.0666046142578,204.4406
2014-03-01,200.30719,202.068603515625,201.3854217529297,199.49325561523438,198.16151428222656,197.65382385253906,202.1814422607422,202.3169403076172,200.6744384765625,198.33506774902344,204.68335
2014-03-02,201.30247,202.1031036376953,201.5841522216797,199.42059326171875,198.05581665039062,198.17062377929688,202.2508544921875,201.08050537109375,200.76983642578125,199.0272979736328,204.92609
2014-03-03,201.25253,202.91061401367188,202.28643798828125,199.32315063476562,198.69984436035156,198.14431762695312,203.12698364257812,202.61309814453125,201.01382446289062,199.1341552734375,205.16884
2014-03-04,200.42648,202.74493408203125,202.24142456054688,198.71405029296875,198.13661193847656,198.11212158203125,202.76895141601562,201.45773315429688,201.0694122314453,198.5924530029297,205.41159
2014-03-05,200.38658,202.4690399169922,201.7843475341797,198.68515014648438,198.20181274414062,197.8916778564453,202.73599243164062,202.2990264892578,200.8683319091797,199.58848571777344,205.65433
2014-03-06,200.7776,203.03350830078125,202.34463500976562,198.373291015625,198.15682983398438,197.70437622070312,203.48422241210938,201.13290405273438,200.95143127441406,198.4561309814453,205.89708
2014-03-07,200.57721,203.65162658691406,202.59457397460938,198.4001922607422,197.8312225341797,197.39004516601562,203.68084716796875,203.04324340820312,201.05563354492188,198.2470703125,206.13983
2014-03-08,200.19713,202.1254425048828,201.45254516601562,198.71401977539062,197.6563262939453,197.4115753173828,201.87725830078125,200.26856994628906,200.26358032226562,196.7443084716797,206.38257
2014-03-09,200.37384,202.24871826171875,201.69952392578125,198.3208770751953,198.19325256347656,197.52886962890625,202.20343017578125,201.8707275390625,200.69488525390625,197.46316528320312,206.62532
2014-03-10,200.60399,202.26284790039062,201.82406616210938,197.94384765625,198.03060913085938,197.91990661621094,202.47238159179688,201.157958984375,200.73289489746094,197.49192810058594,206.86806
2014-03-11,201.36267,202.15060424804688,201.8455352783203,198.59994506835938,197.97454833984375,198.35214233398438,202.64865112304688,201.56016540527344,200.52882385253906,197.43882751464844,207.1108
2014-03-12,200.28981,201.63851928710938,201.6869659423828,198.1602325439453,197.22654724121094,198.6029815673828,202.0363311767578,200.42202758789062,200.20310974121094,196.16221618652344,207.35353
2014-03-13,199.73021,202.00119018554688,201.78204345703125,197.8489227294922,197.42852783203125,198.64730834960938,202.21934509277344,201.2742462158203,200.1266632080078,195.44976806640625,207.59628
2014-03-14,199.27077,201.19349670410156,201.2553253173828,197.26438903808594,196.59706115722656,198.53851318359375,201.3750457763672,200.44325256347656,199.69093322753906,193.6090850830078,207.83904
2014-03-15,198.86403,200.180908203125,200.13397216796875,196.57229614257812,196.65386962890625,198.10487365722656,200.35028076171875,199.82992553710938,199.2069091796875,193.4642791748047,208.08177
2014-03-16,198.43675,199.93211364746094,200.1365509033203,195.8355255126953,196.0428009033203,197.6962890625,199.93646240234375,198.95315551757812,199.22328186035156,193.53240966796875,208.32452
2014-03-17,197.50536,200.1366729736328,199.97381591796875,195.41299438476562,196.25045776367188,197.29318237304688,200.1508026123047,199.10049438476562,199.07969665527344,193.33973693847656,208.56728
2014-03-18,197.16869,199.79794311523438,199.84849548339844,194.7305908203125,195.8262481689453,196.8218231201172,199.56175231933594,197.9542999267578,198.95323181152344,192.33514404296875,208.81001
2014-03-19,197.28264,200.34034729003906,200.1616973876953,194.4485321044922,195.73963928222656,196.355224609375,200.08477783203125,198.27423095703125,199.11561584472656,191.00869750976562,209.05276
2014-03-20,198.72098,199.63687133789062,200.13414001464844,194.6561737060547,195.58352661132812,196.15354919433594,199.5930633544922,197.698974609375,199.56544494628906,191.93507385253906,209.29552
2014-03-21,198.138,199.9885711669922,200.11892700195312,194.46307373046875,195.66165161132812,195.93692016601562,200.03167724609375,198.13079833984375,199.5343475341797,192.5316162109375,209.53825
2014-03-22,199.2773,199.99632263183594,200.34400939941406,195.08985900878906,195.49354553222656,196.04446411132812,200.1917724609375,198.44749450683594,199.9528045654297,193.05198669433594,209.781
2014-03-23,198.81969,200.59674072265625,200.78045654296875,194.84005737304688,195.71908569335938,196.0272674560547,200.9041748046875,198.90469360351562,199.9352569580078,192.08775329589844,209.0017
2014-03-24,198.39365,200.8252410888672,201.0157928466797,194.38731384277344,195.3475799560547,196.53753662109375,200.98712158203125,199.3834991455078,200.2186737060547,190.18060302734375,208.22241
2014-03-25,196.9382,199.0332489013672,199.22305297851562,192.68409729003906,194.57388305664062,196.22567749023438,198.8939208984375,197.54409790039062,198.4679412841797,189.04527282714844,207.4431
2014-03-26,196.06898,198.64801025390625,198.67369079589844,192.5107879638672,194.4105682373047,196.06222534179688,198.45204162597656,196.7122802734375,198.14747619628906,190.16017150878906,206.6638
2014-03-27,195.5916,198.75204467773438,198.7538299560547,192.7838592529297,194.2254638671875,195.8155059814453,198.41612243652344,196.63812255859375,198.15943908691406,189.80897521972656,205.8845
2014-03-28,195.88576,198.66830444335938,198.87265014648438,192.82620239257812,194.46929931640625,195.78738403320312,198.39747619628906,196.79302978515625,198.2712860107422,190.76292419433594,205.10521
2014-03-29,196.80162,198.7718505859375,199.15023803710938,193.06729125976562,194.79568481445312,195.6912078857422,198.6046142578125,196.8854522705078,198.38050842285156,190.6832275390625,204.3259
2014-03-30,197.74608,198.8530731201172,199.3634796142578,192.80712890625,195.04959106445312,195.73489379882812,198.86978149414062,197.5440216064453,198.76953125,189.7775115966797,203.54662
2014-03-31,197.63638,199.25328063964844,199.625732421875,193.4975128173828,195.07025146484375,195.8683319091797,199.25828552246094,197.94076538085938,199.07266235351562,190.82606506347656,203.53214
2014-04-01,197.6931,199.96383666992188,200.08819580078125,194.2432861328125,195.07553100585938,195.92051696777344,200.27401733398438,198.52178955078125,199.39321899414062,190.90093994140625,203.51765
2014-04-02,197.90157,200.01950073242188,200.09580993652344,194.02955627441406,195.07350158691406,196.0688934326172,200.16018676757812,198.96926879882812,199.48739624023438,190.91372680664062,203.50317
2014-04-03,198.48045,200.5572052001953,200.44720458984375,194.26947021484375,195.20384216308594,196.1592559814453,200.593017578125,199.31851196289062,199.60179138183594,191.0657196044922,203.4887
2014-04-04,198.94156,200.83038330078125,200.68016052246094,195.10252380371094,195.3118133544922,196.3577880859375,200.59640502929688,199.9640655517578,199.8782501220703,193.4548797607422,203.47423
2014-04-05,198.64276,200.32139587402344,200.2237548828125,194.25889587402344,195.3198699951172,196.33377075195312,200.1683807373047,199.32598876953125,199.56210327148438,193.96353149414062,203.45975
2014-04-06,198.421,199.97508239746094,199.9946746826172,193.830810546875,195.3372802734375,196.65567016601562,199.81069946289062,198.17926025390625,199.26829528808594,195.5610809326172,203.44527
2014-04-07,196.64235,198.8352813720703,198.7855224609375,193.34217834472656,194.6517333984375,196.30389404296875,198.85296630859375,197.3195343017578,198.1548309326172,193.98460388183594,203.43079
2014-04-08,195.35674,197.27932739257812,197.2171630859375,192.69952392578125,194.50167846679688,195.95709228515625,197.34304809570312,195.53407287597656,196.74542236328125,191.93272399902344,203.4163
