Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10,obs
2014-02-09,199.63756,196.49636840820312,192.334716796875,199.12158203125,191.9336700439453,192.67897033691406,198.13626098632812,189.3352813720703,197.99586486816406,199.33642578125,199.82843
2014-02-10,199.12321,196.1630859375,191.87646484375,199.1519317626953,192.8584747314453,192.56983947753906,198.3304443359375,188.6807861328125,198.1639404296875,198.3213653564453,200.07118
2014-02-11,198.75868,195.41836547851562,191.3526611328125,199.1519317626953,192.18994140625,192.51966857910156,197.76951599121094,188.58067321777344,197.84486389160156,197.7801513671875,200.31393
2014-02-12,198.60593,195.80084228515625,191.61122131347656,198.6147918701172,192.15097045898438,192.50289916992188,198.33799743652344,188.20408630371094,198.23008728027344,197.3606719970703,200.55667
2014-02-13,198.09938,197.1097412109375,193.41053771972656,198.6147918701172,192.4748992919922,192.58673095703125,198.16815185546875,189.46043395996094,197.9441680908203,196.9759979248047,200.79942
2014-02-14,198.38489,197.47314453125,193.90875244140625,198.85760498046875,192.6840057373047,192.48524475097656,198.77249145507812,189.3179168701172,198.52023315429688,196.1694793701172,201.04218
2014-02-15,197.7125,196.7941131591797,193.29348754882812,198.85760498046875,193.60476684570312,192.3650360107422,198.2308349609375,188.67855834960938,198.0078582763672,195.83018493652344,201.28491
2014-02-16,198.01811,195.95655822753906,192.40830993652344,198.73104858398438,193.4588165283203,192.237060546875,198.1829376220703,187.7021942138672,197.94456481933594,195.94613647460938,201.52766
2014-02-17,197.60709,196.66900634765625,194.06155395507812,198.73104858398438,192.62147521972656,192.31385803222656,198.35206604003906,189.99160766601562,198.13125610351562,195.91201782226562,201.7704
2014-02-18,198.54085,197.7394256591797,194.43331909179688,198.79840087890625,192.16522216796875,192.35630798339844,199.59002685546875,190.59439086914062,199.2928924560547,197.18177795410156,202.01315
2014-02-19,198.69237,197.8485870361328,194.70046997070312,198.79840087890625,192.93087768554688,192.48631286621094,199.34854125976562,191.3783721923828,199.08909606933594,197.3494415283203,202.2559
2014-02-20,198.98201,197.9130859375,194.39706420898438,198.8921356201172,193.88037109375,192.41566467285156,199.52828979492188,190.9448699951172,199.0927276611328,197.6222381591797,202.49864
2014-02-21,198.25664,198.72723388671875,196.08250427246094,198.8921356201172,195.29934692382812,192.41566467285156,199.28927612304688,192.92803955078125,198.89686584472656,196.544921875,202.7414
